City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Dsc
77,Thompson,CA,55.7435,-97.8558,1.56,85,0,0.0,clear sky
78,Ambanja,MG,-13.6833,48.45,73.56,89,6,2.13,clear sky
79,Necochea,AR,-38.5473,-58.7368,57.15,83,0,19.3,clear sky
80,Qandala,SO,11.472,49.8728,75.42,67,45,4.76,scattered clouds
81,Klaksvik,FO,62.2266,-6.589,49.12,87,100,34.72,overcast clouds
82,Gamboula,CF,4.1178,15.1393,66.4,87,49,2.15,scattered clouds
83,Novoagansk,RU,61.9449,76.6625,5.72,94,100,15.39,light snow
84,Nova Esperanca,BR,4.438,-61.1151,71.01,87,94,3.47,overcast clouds
85,Wenchi,GH,7.7392,-2.1046,72.72,79,77,3.71,broken clouds
86,Angra Dos Reis,BR,-23.0067,-44.3181,75.51,85,100,5.48,overcast clouds
87,Chuy,UY,-33.6971,-53.4616,61.23,94,100,11.86,overcast clouds
88,Coari,BR,-4.085,-63.1414,79.3,76,83,2.51,broken clouds
89,Marienburg,PL,54.0359,19.0266,45.84,92,80,6.33,broken clouds
90,Codrington,AU,-38.2667,141.9667,51.44,66,97,17.87,overcast clouds
91,Torbay,CA,47.6666,-52.7314,44.58,85,100,26.46,overcast clouds
92,Qaanaaq,GL,77.484,-69.3632,-2.54,79,38,4.9,scattered clouds
93,Ouargaye,BF,11.5033,0.0572,74.82,25,0,8.05,clear sky
94,Ostrovnoy,RU,68.0531,39.5131,29.55,82,88,5.79,overcast clouds
95,Canalete,CO,8.6761,-76.2042,77.86,93,73,1.99,broken clouds
96,Clyde River,CA,70.4692,-68.5914,-7.37,77,0,12.66,clear sky
97,Brae,GB,60.3964,-1.353,51.46,87,100,29.1,overcast clouds
98,Dzilam Gonzalez,MX,21.2833,-88.9333,75.36,77,14,6.98,few clouds
99,Hamilton,US,39.1834,-84.5333,36.88,72,0,9.22,clear sky
100,Namibe,AO,-15.1961,12.1522,64.11,81,100,4.45,overcast clouds
101,Cap Malheureux,MU,-19.9842,57.6142,72.46,60,0,3.0,clear sky
102,Karasuk,RU,53.7377,78.0403,37.81,83,100,17.58,overcast clouds
103,Newport,GB,51.5877,-2.9984,54.14,89,100,25.17,light rain
104,Ugoofaaru,MV,5.6667,73.0,81.68,76,100,9.26,moderate rain
105,Aswan,EG,24.0934,32.907,67.3,45,0,11.5,clear sky
106,Blagoyevo,RU,63.3667,47.9167,9.21,94,62,5.82,broken clouds
107,Sayyan,YE,15.1718,44.3244,45.3,46,0,3.85,clear sky
108,Soyo,AO,-6.1349,12.3689,75.88,79,87,8.41,overcast clouds
109,Castrillon,ES,43.3979,-6.7922,58.03,72,100,15.17,light rain
110,Sirjan,IR,29.452,55.6814,52.38,59,2,3.53,clear sky
111,Mezen,RU,65.8522,44.24,21.04,92,100,1.86,overcast clouds
112,Tabriz,IR,38.08,46.2919,35.06,64,0,6.91,clear sky
113,Pital,CO,2.2665,-75.8044,67.3,94,100,2.75,overcast clouds
114,Nioro,GM,13.35,-15.75,75.63,63,100,6.55,overcast clouds
115,Eyl,SO,7.9803,49.8164,75.74,74,27,11.41,scattered clouds
116,Gerash,IR,27.6652,54.1371,55.54,45,0,5.95,clear sky
117,Kifri,IQ,34.6959,44.9661,58.53,38,0,2.24,clear sky
118,Tabou,CI,4.423,-7.3528,76.62,86,99,4.18,light rain
119,Belmonte,BR,-15.8631,-38.8828,75.6,92,94,8.7,overcast clouds
120,Montepuez,MZ,-13.1256,38.9997,67.86,85,70,2.73,broken clouds
121,Natal,BR,-5.795,-35.2094,77.65,78,40,8.05,scattered clouds
122,Ronne,DK,55.1009,14.7066,48.11,87,100,9.22,overcast clouds
123,Ponta Do Sol,PT,32.6667,-17.1,67.71,69,94,2.1,overcast clouds
124,Halden,NO,59.1226,11.3871,43.63,88,100,7.45,overcast clouds
125,Cabedelo,BR,-6.9811,-34.8339,77.67,80,51,10.89,broken clouds
126,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.0,90,85,1.86,overcast clouds
127,Kholm-Zhirkovskiy,RU,55.5189,33.4731,31.21,74,100,4.72,light snow
128,Obigarm,TJ,38.7173,69.7088,33.51,66,100,7.09,overcast clouds
129,Mayahi,NE,13.9553,7.6712,67.5,20,66,10.11,broken clouds
130,Korla,CN,41.7597,86.1469,35.94,51,9,7.25,clear sky
131,Saint-Pierre,RE,-21.3393,55.4781,73.08,49,0,12.66,clear sky
