City_ID,City,Country,Max Temp,Weather Dsc,Lat,Lng,Hotel Name
105,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
108,Soyo,AO,75.88,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
109,Castrillon,ES,58.03,light rain,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
110,Sirjan,IR,52.38,clear sky,29.452,55.6814,MAPNA Building
113,Pital,CO,67.3,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
114,Nioro,GM,75.63,overcast clouds,13.35,-15.75,
115,Eyl,SO,75.74,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
116,Gerash,IR,55.54,clear sky,27.6652,54.1371,Sa'adat House Gerash
117,Kifri,IQ,58.53,clear sky,34.6959,44.9661,Hama’s home
118,Tabou,CI,76.62,light rain,4.423,-7.3528,hotêl doufoulougou
119,Belmonte,BR,75.6,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
120,Montepuez,MZ,67.86,broken clouds,-13.1256,38.9997,PembaAparthotel
121,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
123,Ponta Do Sol,PT,67.71,overcast clouds,32.6667,-17.1,Hotel do Campo
125,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
126,Sao Geraldo Do Araguaia,BR,75.0,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
129,Mayahi,NE,67.5,broken clouds,13.9553,7.6712,
131,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Alize Plage
132,Kismayo,SO,78.31,broken clouds,-0.3582,42.5454,Agan-Hotel
133,Ponta Delgada,PT,64.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
134,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
136,Coihaique,CL,50.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
138,Gopalpur,IN,73.11,clear sky,19.2667,84.9167,Gopalpur Palm Resort
139,Carballo,ES,60.49,overcast clouds,43.213,-8.691,Pazo do Souto
141,Sao Joao Da Barra,BR,74.66,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
143,Portoferraio,IT,59.58,broken clouds,42.8115,10.3146,Hotel Villa Ombrosa
144,Jalu,LY,58.12,clear sky,29.0331,21.5482,صاحبة الفخامة
146,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
148,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
149,Quatre Cocos,MU,72.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
150,Epe,NG,76.01,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
151,Manali,IN,78.89,overcast clouds,13.1667,80.2667,Sarathy Lodge
153,Kafue,ZM,66.56,overcast clouds,-15.7691,28.1814,Purview Lodges Ltd
154,Les Cayes,HT,76.03,clear sky,18.2,-73.75,Villa Orphee
155,Phalaborwa,ZA,62.73,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
157,Cidreira,BR,64.87,clear sky,-30.1811,-50.2056,Hotel Castelo
158,Santa Cruz De Tenerife,ES,77.29,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
162,Lebu,CL,54.21,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
163,Requena,ES,57.52,overcast clouds,39.4883,-1.1004,Hotel Avenida
167,Casma,CL,58.28,overcast clouds,-41.0082,-73.1244,Hospedaje Casma
170,Alcains,PT,56.1,overcast clouds,39.9164,-7.4566,Casa do Balcão
171,Maralal,KE,57.85,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
172,Ladario,BR,71.62,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
