City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Natitingou,BJ,2022-11-13 04:39:34,10.3042,1.3796,71.58,56,29,3.18
67,Camacha,PT,2022-11-13 04:39:35,33.0833,-16.3333,63.82,82,20,2.3
68,Punta Arenas,CL,2022-11-13 04:39:35,-53.15,-70.9167,46.51,57,0,6.91
69,Wukari,NG,2022-11-13 04:39:35,7.85,9.7833,71.53,52,20,2.06
70,Kourou,GF,2022-11-13 04:39:36,5.1552,-52.6478,75.25,89,100,5.93
71,Yamandu,SL,2022-11-13 04:39:36,7.9362,-11.4928,72.19,99,63,1.05
72,Hamilton,US,2022-11-13 04:36:35,39.1834,-84.5333,33.75,92,100,10.36
73,Chuy,UY,2022-11-13 04:39:36,-33.6971,-53.4616,65.77,92,100,10.49
74,Pavilosta,LV,2022-11-13 04:39:37,56.8879,21.1859,37.31,85,27,4.23
75,Peruibe,BR,2022-11-13 04:39:37,-24.32,-46.9983,67.46,96,63,2.55
76,Kruisfontein,ZA,2022-11-13 04:39:37,-34.0033,24.7314,62.89,72,0,23.33
77,Praia,CV,2022-11-13 04:39:38,14.9215,-23.5087,73.94,78,20,10.36
78,Saint George,US,2022-11-13 04:39:38,37.1041,-113.5841,47.95,44,0,10.36
79,Awbari,LY,2022-11-13 04:39:38,26.5921,12.7805,55.49,45,0,4.56
80,Rafaela,AR,2022-11-13 04:39:38,-31.2503,-61.4867,62.98,70,94,5.01
81,Saldanha,ZA,2022-11-13 04:39:39,-33.0117,17.9442,53.65,81,0,7.49
82,Carnot,CF,2022-11-13 04:39:39,4.9409,15.8665,67.37,92,89,1.72
83,Sena Madureira,BR,2022-11-13 04:39:39,-9.0656,-68.6569,78.64,66,93,2.26
84,Tartus,SY,2022-11-13 04:39:39,34.889,35.8866,68.61,50,0,16.04
85,Raudeberg,NO,2022-11-13 04:39:40,61.9875,5.1352,48.87,14,90,4.63
86,Atar,MR,2022-11-13 04:39:40,20.5169,-13.0499,71.44,14,3,7.87
87,Axim,GH,2022-11-13 04:39:40,4.8699,-2.2405,76.08,88,34,2.42
88,Vila Franca Do Campo,PT,2022-11-13 04:39:41,37.7167,-25.4333,59.41,69,100,13.67
89,Cauquenes,CL,2022-11-13 04:39:41,-35.9671,-72.3225,47.57,93,37,3.29
90,Kjollefjord,NO,2022-11-13 04:40:41,70.9457,27.3465,37.45,100,20,9.22
91,Sarankhola,BD,2022-11-13 04:40:42,22.3082,89.7897,81.72,40,3,7.54
92,Persianovskiy,RU,2022-11-13 04:40:42,47.5137,40.1075,45.55,100,100,17.9
93,Acarau,BR,2022-11-13 04:40:42,-2.8856,-40.12,78.01,79,62,9.19
94,Diffa,NE,2022-11-13 04:40:42,13.3154,12.6113,70.29,33,6,9.95
95,Conde,BR,2022-11-13 04:40:43,-7.2597,-34.9075,74.66,100,100,4.61
96,Tasiilaq,GL,2022-11-13 04:40:43,65.6145,-37.6368,37.56,81,100,24.96
97,East London,ZA,2022-11-13 04:39:03,-33.0153,27.9116,61.74,88,0,9.22
98,Husavik,IS,2022-11-13 04:40:43,66.0449,-17.3389,34.7,72,49,10.4
99,Cidreira,BR,2022-11-13 04:40:44,-30.1811,-50.2056,68.59,86,100,21.74
100,Puri,IN,2022-11-13 04:40:44,19.8,85.85,79.32,46,8,9.31
101,Iquique,CL,2022-11-13 04:40:44,-20.2208,-70.1431,62.64,69,45,1.63
102,Lebu,CL,2022-11-13 04:40:45,-37.6167,-73.65,50.74,92,14,9.46
103,Kinsale,IE,2022-11-13 04:40:45,51.7075,-8.5306,56.57,88,75,24.16
104,Sharjah,AE,2022-11-13 04:40:45,25.3573,55.4033,76.98,88,15,4.61
105,Vangaindrano,MG,2022-11-13 04:40:45,-23.35,47.6,78.15,67,2,2.35
106,Rouvroy,FR,2022-11-13 04:40:46,50.3925,2.904,44.37,56,80,5.46
107,Izhma,RU,2022-11-13 04:40:46,65.0083,53.9113,17.37,95,100,5.84
108,Jamestown,US,2022-11-13 04:38:56,42.097,-79.2353,37.02,80,100,9.22
109,Moose Factory,CA,2022-11-13 04:40:46,51.2585,-80.6094,24.8,93,100,4.61
110,Krasnoselkup,RU,2022-11-13 04:40:47,65.7,82.4667,-15.25,93,13,10.07
111,Uige,AO,2022-11-13 04:40:47,-7.6087,15.0613,61.92,90,88,1.25
112,Alvand,IR,2022-11-13 04:40:47,36.3187,49.1678,40.19,68,3,4.97
113,Iqaluit,CA,2022-11-13 04:40:48,63.7506,-68.5145,10.13,78,75,4.61
114,Bosaso,SO,2022-11-13 04:40:48,11.2842,49.1816,78.78,83,0,8.05
115,Karaton,ID,2022-11-13 04:40:48,-6.3424,106.1045,80.98,80,100,0.81
116,Awjilah,LY,2022-11-13 04:40:48,29.1081,21.2869,61.52,57,69,4.65
117,Mulanje,MW,2022-11-13 04:40:49,-16.0316,35.5,79.74,53,8,2.24
118,Kalmar,SE,2022-11-13 04:40:49,56.6616,16.3616,45.97,99,100,3.44
119,Hualmay,PE,2022-11-13 04:40:49,-11.0964,-77.6139,62.98,85,61,6.78
120,Walvis Bay,NA,2022-11-13 04:40:50,-22.9575,14.5053,54.09,81,0,4.61
121,Tabou,CI,2022-11-13 04:40:50,4.423,-7.3528,76.82,87,41,3.56
122,Bowmore,US,2022-11-13 04:40:50,34.9421,-79.3031,67.75,93,100,5.75
123,Puerto Del Rosario,ES,2022-11-13 04:40:51,28.5004,-13.8627,65.95,55,0,6.91
124,Luchow,DE,2022-11-13 04:40:51,52.9667,11.15,40.1,93,100,5.84
125,Khorramabad,IR,2022-11-13 04:40:51,33.4878,48.3558,42.42,100,20,4.61
126,Richards Bay,ZA,2022-11-13 04:40:51,-28.783,32.0377,75.06,86,100,14.76
127,Ambilobe,MG,2022-11-13 04:40:52,-13.2,49.05,83.19,52,0,2.82
128,Clonakilty,IE,2022-11-13 04:40:52,51.6231,-8.8706,56.41,83,99,27.29
129,Ornskoldsvik,SE,2022-11-13 04:40:52,63.2909,18.7153,40.15,87,31,14.97
130,Hvide Sande,DK,2022-11-13 04:40:53,56.0045,8.1294,50.65,88,98,8.08
131,Ribeira Grande,PT,2022-11-13 04:40:53,38.5167,-28.7,57.78,77,100,4.0
132,Sorland,NO,2022-11-13 04:40:53,67.667,12.6934,44.46,84,87,10.87
133,Bubaque,GW,2022-11-13 04:40:54,11.2833,-15.8333,81.72,65,66,6.49
134,Ponta Do Sol,PT,2022-11-13 04:41:54,32.6667,-17.1,67.71,81,100,1.23
